zip,avg_listing,avg_sales,med_sales,per_sq_ft,tru_pop
10039,"$599,375 ","$743,510 ","$672,346 ",$766 ,42
10037,"$616,606 ","$579,166 ","$582,500 ",$877 ,38
10040,"$687,000 ","$690,000 ","$690,000 ",$703 ,40
10032,"$953,757 ","$573,250 ","$619,000 ",$733 ,27
10044,"$1,096,250 ","$1,060,000 ","$1,060,000 ","$1,026 ",43
10280,"$1,259,352 ","$890,166 ","$768,000 ","$1,169 ",31
10035,"$1,506,250 ","$1,282,500 ","$1,282,500 ",$806 ,35
10005,"$1,544,214 ","$1,629,539 ","$1,650,000 ","$1,293 ",34
10030,"$1,603,327 ","$823,333 ","$775,000 ",$885 ,24
10033,"$1,613,660 ","$592,091 ","$599,183 ",$726 ,33
10031,"$1,654,052 ","$825,637 ","$840,000 ",$755 ,22
10029,"$1,782,598 ","$887,437 ","$821,000 ",$984 ,29
10016,"$1,934,550 ","$1,266,856 ","$1,155,000 ","$1,376 ",13
10009,"$1,970,250 ","$1,022,777 ","$932,500 ","$1,377 ",20
10038,"$1,970,782 ","$2,004,583 ","$1,991,250 ","$1,355 ",32
10017,"$2,055,206 ","$1,157,000 ","$1,115,000 ","$1,332 ",16
10027,"$2,089,466 ","$1,292,666 ","$1,275,000 ","$1,128 ",19
10026,"$2,162,970 ","$1,012,494 ","$939,703 ","$1,075 ",25
10004,"$2,232,344 ","$1,705,000 ","$1,872,500 ","$1,432 ",39
10036,"$2,243,661 ","$1,365,382 ","$1,369,819 ","$1,730 ",21
10025,"$2,398,738 ","$1,533,696 ","$1,181,875 ","$1,378 ",12
10006,"$2,643,452 ","$1,235,857 ","$1,050,000 ","$1,553 ",37
10002,"$2,645,209 ","$1,081,187 ","$1,034,750 ","$1,552 ",28
10019,"$3,344,578 ","$1,374,868 ","$1,276,500 ","$1,544 ",8
10069,"$3,529,439 ","$2,845,475 ","$2,230,000 ","$1,718 ",36
10010,"$3,984,644 ","$3,194,372 ","$2,200,000 ","$1,994 ",18
10003,"$4,009,462 ","$2,110,637 ","$2,200,000 ","$2,020 ",14
10128,"$4,267,404 ","$1,883,514 ","$1,635,000 ","$1,442 ",10
10075,"$4,730,706 ","$2,246,358 ","$1,700,000 ","$1,558 ",17
10001,"$4,995,153 ","$2,253,884 ","$2,562,500 ","$1,727 ",26
10024,"$5,044,369 ","$2,115,210 ","$1,777,500 ","$1,505 ",5
10022,"$5,082,985 ","$1,996,897 ","$1,752,500 ","$1,497 ",1
10018,"$5,174,687 ","$1,345,000 ","$1,070,000 ","$1,661 ",41
10011,"$5,254,896 ","$2,356,820 ","$2,237,500 ","$1,858 ",2
10065,"$5,447,382 ","$2,042,957 ","$1,699,000 ","$1,642 ",4
10282,"$5,564,285 ","$2,967,812 ","$2,862,500 ","$1,820 ",44
10021,"$5,581,974 ","$2,063,673 ","$1,325,000 ","$1,641 ",11
10023,"$5,806,993 ","$1,927,529 ","$1,300,000 ","$1,866 ",3
10028,"$5,870,669 ","$1,708,656 ","$1,057,500 ","$1,441 ",9
10007,"$5,906,956 ","$4,359,101 ","$3,950,000 ","$2,064 ",23
10034,"$6,695,000 ","$416,937 ","$416,937 ",$544 ,30
10012,"$6,737,753 ","$3,090,500 ","$2,463,500 ","$2,017 ",15
10013,"$7,238,015 ","$3,386,663 ","$2,750,000 ","$1,820 ",6
10014,"$7,359,477 ","$1,732,780 ","$1,325,000 ","$2,060 ",7